KRT5,TP63,KRT14,SCGB1A1,SCGB3A1,MUC5B,MUC5AC,BPIFB1,group,dataset,basal_score,secretory_score,secretory_minus_basal
1.7189013,1.7189013,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.1459342,0.0,-1.1459342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.0,0.0,0.0
0.0,0.0,0.0,7.6039343,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.0,1.5207869,1.5207869
0.0,1.8746682,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.62488943,0.0,-0.62488943
0.0,1.3009068,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.4336356,0.0,-0.4336356
2.7803488,0.9212642,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.233871,0.0,-1.233871
2.1550946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.7183649,0.0,-0.7183649
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.0,0.0,0.0
2.195751,0.9544915,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.0500808,0.0,-1.0500808
2.3687108,1.1739297,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.1808802,0.0,-1.1808802
0.0,1.9510704,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.6503568,0.0,-0.6503568
3.017612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,1.0058707,0.0,-1.0058707
2.76861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.92287,0.0,-0.92287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.0,0.0,0.0
1.56391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal_correctly_annotated,Barbry_Leroy_2020,0.52130336,0.0,-0.52130336
