held_out_dataset,reannotation_type,nonconformity_score,top1_correct
Banovich_Kropski_2020,Correctly annotated,0.9593020587401954,True
Banovich_Kropski_2020,Correctly annotated,0.999200062580393,False
Banovich_Kropski_2020,Correctly annotated,0.9999527558515687,True
Banovich_Kropski_2020,Misannotated,0.6493712645730809,True
Banovich_Kropski_2020,Underannotated,0.9243791311901078,True
Banovich_Kropski_2020,Correctly annotated,0.9999296705216767,True
Banovich_Kropski_2020,Underannotated,0.9995589044171158,True
Banovich_Kropski_2020,Correctly annotated,0.9783851667861165,True
Banovich_Kropski_2020,Correctly annotated,0.9385879186380739,False
Banovich_Kropski_2020,Misannotated,0.6499497188623083,True
Banovich_Kropski_2020,Misannotated,0.7961706055487332,True
Banovich_Kropski_2020,Misannotated,0.9951642003761206,True
Banovich_Kropski_2020,Correctly annotated,0.9883632509116892,False
Banovich_Kropski_2020,Misannotated,0.9967066737093797,True
Banovich_Kropski_2020,Misannotated,0.994678728314759,True
Banovich_Kropski_2020,Misannotated,0.897859071082902,True
Banovich_Kropski_2020,Misannotated,0.9995691188781074,True
Banovich_Kropski_2020,Misannotated,0.9999791606107887,True
Banovich_Kropski_2020,Correctly annotated,0.9984883767696916,True
Banovich_Kropski_2020,Misannotated,0.9935528541785555,True
Banovich_Kropski_2020,Misannotated,0.9979220171484926,True
Banovich_Kropski_2020,Underannotated,0.9996776894650917,True
Banovich_Kropski_2020,Misannotated,0.9980556417851292,True
Banovich_Kropski_2020,Correctly annotated,0.9242713224478059,True
Banovich_Kropski_2020,Misannotated,0.9929674125812538,False
Banovich_Kropski_2020,Correctly annotated,0.7972780439972905,False
Banovich_Kropski_2020,Correctly annotated,0.9799807124858088,True
Banovich_Kropski_2020,Correctly annotated,0.9991091303128985,True
Banovich_Kropski_2020,Misannotated,0.9993776196471379,True
Banovich_Kropski_2020,Misannotated,0.9995155639664488,True
Banovich_Kropski_2020,Correctly annotated,0.9988090769729009,True
Banovich_Kropski_2020,Correctly annotated,0.9990916507599614,True
Banovich_Kropski_2020,Correctly annotated,0.9606651910660727,True
Banovich_Kropski_2020,Misannotated,0.9951330441779873,True
Banovich_Kropski_2020,Misannotated,0.9689687562278807,True
